Record,Paisaje,Sample,Locality,Successional State,Succession,Plot,LeafLitter.g,LeafLitter/Mg/ha/month,LeafLitter/Mg/ha/month2,Branches.g,Branches/Mg/ha/month,Detritus.g,Detritus/Mg/ha/month,Flowers.g,Flowers/Mg/ha/month,Fruits.g,Fruits/Mg/ha/month,Total.g,Total/Mg/ha/month,Precipitation,Temp.Ave,Temp.Max
1,Lomerio,1,Morelia,2,DL2,P2,505.32,0.561,5.615,59.96,0.067,50.25,0.056,1.01,0.001,7.26,0.008,630.1,0.7,408.87,25.66,35.9
2,Lomerio,2,Morelia,2,DL2,P2,865.48,0.962,9.616,31.98,0.036,109.67,0.122,0.15,0,1.42,0.002,1019.44,1.133,375.13,25.88,37.1
3,Lomerio,3,Morelia,2,DL2,P2,676.03,0.751,7.511,40.93,0.045,141.39,0.157,0,0,33.59,0.037,900.4,1,239.33,25.4,37.81
4,Lomerio,4,Morelia,2,DL2,P2,372.52,0.414,4.139,34.98,0.039,358.56,0.398,5.7,0.006,4.28,0.005,781.04,0.868,286.31,25.47,35.15
5,Lomerio,5,Morelia,2,DL2,P2,456.37,0.507,5.071,46.51,0.052,357.98,0.398,8.77,0.01,15.02,0.017,890.68,0.99,166.01,25.77,35.17
6,Lomerio,6,Morelia,2,DL2,P2,878.52,0.976,9.761,82.6,0.092,412.43,0.458,0.71,0.001,97.91,0.109,1483.46,1.648,177.87,25.29,35.78
7,Lomerio,7,Morelia,2,DL2,P2,797.91,0.887,8.866,28.34,0.031,99.66,0.111,28.16,0.031,36.53,0.041,1000.53,1.112,74.32,26.13,37.17
8,Lomerio,8,Morelia,2,DL2,P2,355.76,0.395,3.953,21.97,0.024,147.52,0.164,0,0,48.35,0.054,578.14,0.642,315.86,25.77,37.13
9,Lomerio,9,Morelia,2,DL2,P2,423.46,0.471,4.705,18.08,0.02,58.09,0.065,0.1,0,41.02,0.046,546.01,0.607,491.1,23.81,33.45
10,Lomerio,10,Morelia,2,DL2,P2,541.42,0.602,6.016,26.88,0.03,112.54,0.125,0.71,0.001,34.72,0.039,723.04,0.803,509.15,24.02,34.45
11,Lomerio,11,Morelia,2,DL2,P2,457.8,0.509,5.087,35.32,0.039,113.63,0.126,0.16,0,3.71,0.004,616.38,0.685,482.56,22.64,33.14
12,Lomerio,12,Morelia,2,DL2,P2,534.13,0.593,5.935,75.62,0.084,181.94,0.202,2.12,0.002,28.42,0.032,829.05,0.921,241.33,23.21,34.32
13,Lomerio,1,Morelia,3,RL,P2,886.95,0.986,9.855,79.22,0.088,134.13,0.149,6.74,0.007,0.3,0,1118.43,1.243,408.87,25.66,35.9
14,Lomerio,2,Morelia,3,RL,P2,604.22,0.671,6.714,19.94,0.022,140.38,0.156,1.35,0.002,3.34,0.004,776.79,0.863,375.13,25.88,37.1
15,Lomerio,3,Morelia,3,RL,P2,436.48,0.485,4.85,20.39,0.023,65.42,0.073,5.46,0.006,7.83,0.009,541.02,0.601,239.33,25.4,37.81
16,Lomerio,4,Morelia,3,RL,P2,294.86,0.328,3.276,71.74,0.08,290.95,0.323,3.46,0.004,12.443,0.014,677.46,0.753,286.31,25.47,35.15
17,Lomerio,5,Morelia,3,RL,P2,383.21,0.426,4.258,31.63,0.035,163.37,0.182,0,0,17.15,0.019,600.26,0.667,166.01,25.77,35.17
18,Lomerio,6,Morelia,3,RL,P2,1143.12,1.27,12.701,78.91,0.088,277.29,0.308,0.13,0,20.45,0.023,1534.27,1.705,177.87,25.29,35.78
19,Lomerio,7,Morelia,3,RL,P2,1123.87,1.249,12.487,62.53,0.069,187.7,0.209,0.03,0,5.26,0.006,1393.41,1.548,74.32,26.13,37.17
20,Lomerio,8,Morelia,3,RL,P2,814.47,0.905,9.05,41.37,0.046,228.26,0.254,0.22,0,17.83,0.02,1112.41,1.236,315.86,25.77,37.13
21,Lomerio,9,Morelia,3,RL,P2,856.29,0.951,9.514,26.68,0.03,79.4,0.088,0,0,8.48,0.009,981.43,1.09,491.1,23.81,33.45
22,Lomerio,10,Morelia,3,RL,P2,680.4,0.756,7.56,20.32,0.023,128.45,0.143,0,0,26.84,0.03,864.49,0.961,509.15,24.02,34.45
23,Lomerio,11,Morelia,3,RL,P2,521.7,0.58,5.797,34.93,0.039,126.05,0.14,4.68,0.005,47.15,0.052,741.07,0.823,482.56,22.64,33.14
24,Lomerio,12,Morelia,3,RL,P2,936.21,1.04,10.402,94.04,0.104,185.78,0.206,3.79,0.004,37.6,0.042,1269.18,1.41,241.33,23.21,34.32
25,Lomerio,1,Morelia,3,RL,P3,1455.41,1.617,16.171,109.79,0.122,294.39,0.327,28.38,0.032,2.73,0.003,1908.97,2.121,404.62,25.66,35.9
26,Lomerio,2,Morelia,3,RL,P3,714.19,0.794,7.935,0,0,267.08,0.297,1.58,0.002,12.77,0.014,1004.65,1.116,353.99,25.88,37.1
27,Lomerio,3,Morelia,3,RL,P3,814.03,0.904,9.045,59.02,0.066,138.72,0.154,0.08,0,12.87,0.014,1034.89,1.15,222.81,25.4,37.81
28,Lomerio,4,Morelia,3,RL,P3,556.21,0.618,6.18,29.91,0.033,22.61,0.025,0,0,5.42,0.006,621.01,0.69,291.04,25.47,35.15
29,Lomerio,5,Morelia,3,RL,P3,450.04,0.5,5,66.22,0.074,171.87,0.191,0,0,5.64,0.006,699.54,0.777,164.57,25.77,35.17
30,Lomerio,6,Morelia,3,RL,P3,797.4,0.886,8.86,66.7,0.074,268.93,0.299,0.28,0,13.89,0.015,1157.32,1.286,165.19,25.29,35.78
31,Lomerio,7,Morelia,3,RL,P3,815.36,0.906,9.06,20.18,0.022,183.1,0.203,0.3,0,28.44,0.032,1057.57,1.175,65.44,26.13,37.17
32,Lomerio,8,Morelia,3,RL,P3,388.43,0.432,4.316,30.34,0.034,222.89,0.248,0.35,0,17.63,0.02,664.67,0.739,313.78,25.77,37.13
33,Lomerio,9,Morelia,3,RL,P3,342.24,0.38,3.803,18.88,0.021,90.27,0.1,1.6,0.002,32.68,0.036,489.98,0.544,471.82,23.81,33.45
34,Lomerio,10,Morelia,3,RL,P3,797.88,0.887,8.865,45.53,0.051,117.43,0.13,1,0.001,12.85,0.014,984.62,1.094,521.58,24.02,34.45
35,Lomerio,11,Morelia,3,RL,P3,493.19,0.548,5.48,27.74,0.031,97.82,0.109,0.03,0,24.79,0.028,649.74,0.722,480.76,22.64,33.14
36,Lomerio,12,Morelia,3,RL,P3,897.51,0.997,9.972,122.93,0.137,266.06,0.296,7.88,0.009,21.57,0.024,1327.36,1.475,245.64,23.21,34.32
37,Lomerio,1,Morelia,2,DL2,P3,595.5,0.662,6.617,120.29,0.134,71.92,0.08,0,0,1.64,0.002,796.84,0.885,404.62,25.66,35.9
38,Lomerio,2,Morelia,2,DL2,P3,763.41,0.848,8.482,20.01,0.022,95.04,0.106,0,0,173.24,0.192,1061.16,1.179,353.99,25.88,37.1
39,Lomerio,3,Morelia,2,DL2,P3,387.09,0.43,4.301,17.87,0.02,52.54,0.058,0.78,0.001,2.162,0.002,465.25,0.517,222.81,25.4,37.81
40,Lomerio,4,Morelia,2,DL2,P3,643.47,0.715,7.15,36.89,0.041,154.62,0.172,0.95,0.001,2.162,0.002,846.17,0.94,291.04,25.47,35.15
41,Lomerio,5,Morelia,2,DL2,P3,306.06,0.34,3.401,31.53,0.035,116.93,0.13,0,0,8.72,0.01,467.15,0.519,164.57,25.77,35.17
42,Lomerio,6,Morelia,2,DL2,P3,818.19,0.909,9.091,72.03,0.08,91.38,0.102,0.09,0,75.01,0.083,1066.88,1.185,165.19,25.29,35.78
43,Lomerio,7,Morelia,2,DL2,P3,727.9,0.809,8.088,38.3,0.043,120.32,0.134,1.37,0.002,29.24,0.032,926.21,1.029,65.44,26.13,37.17
44,Lomerio,8,Morelia,2,DL2,P3,401.56,0.446,4.462,25.63,0.028,146.04,0.162,2.84,0.003,18.35,0.02,599.52,0.666,313.78,25.77,37.13
45,Lomerio,9,Morelia,2,DL2,P3,516.75,0.574,5.742,23.06,0.026,70.94,0.079,5.63,0.006,6.06,0.007,628.87,0.699,471.82,23.81,33.45
46,Lomerio,10,Morelia,2,DL2,P3,332.9,0.37,3.699,22.1,0.025,62.39,0.069,0,0,32.24,0.036,453.79,0.504,521.58,24.02,34.45
47,Lomerio,11,Morelia,2,DL2,P3,533.68,0.593,5.93,52.74,0.059,130.21,0.145,0,0,1.57,0.002,724.93,0.805,480.76,22.64,33.14
48,Lomerio,12,Morelia,2,DL2,P3,551.05,0.612,6.123,67.03,0.074,158.13,0.176,4.16,0.005,4.16,0.005,791.52,0.879,245.64,23.21,34.32
49,Lomerio,1,Belén ,1,DL1,P6,586.5,0.652,6.517,16.34,0.018,42.48,0.047,0,0,4.08,0.005,656.63,0.73,379.36,24.32,33
50,Lomerio,2,Belén ,1,DL1,P6,480.91,0.534,5.343,42.21,0.047,98.13,0.109,0,0,0.29,0,627.57,0.697,367.37,24.48,33.27
51,Lomerio,3,Belén ,1,DL1,P6,695.7,0.773,7.73,21.93,0.024,127.48,0.142,0,0,11.36,0.013,865.14,0.961,250.78,24.04,35.49
52,Lomerio,4,Belén ,1,DL1,P6,334.92,0.372,3.721,6.3,0.007,58.22,0.065,0,0,2.25525,0.003,405.86,0.451,354.03,24.26,33.13
53,Lomerio,5,Belén ,1,DL1,P6,393.62,0.437,4.374,8.66,0.01,66.11,0.073,0,0,0.91,0.001,474.19,0.527,187.13,24.37,33.02
54,Lomerio,6,Belén ,1,DL1,P6,649.1,0.721,7.212,20.43,0.023,71.16,0.079,0.39,0,12.28,0.014,761.4,0.846,188.92,23.75,32
55,Lomerio,7,Belén ,1,DL1,P6,608.35,0.676,6.759,15.09,0.017,38.61,0.043,1.22,0.001,1.41,0.002,672.18,0.747,87.08,24.4,33.52
56,Lomerio,8,Belén ,1,DL1,P6,273.68,0.304,3.041,25.04,0.028,33.67,0.037,0,0,2.55,0.003,338.35,0.376,307.46,24.24,32.91
57,Lomerio,9,Belén ,1,DL1,P6,712.36,0.792,7.915,26.46,0.029,181.84,0.202,0.07,0,2.04,0.002,931.71,1.035,440.55,22.74,31.75
58,Lomerio,10,Belén ,1,DL1,P6,295.51,0.328,3.283,6.94,0.008,37.27,0.041,0,0,0.85,0.001,344.23,0.382,544.64,23.03,32.53
59,Lomerio,11,Belén ,1,DL1,P6,343.46,0.382,3.816,6.7,0.007,74.34,0.083,0.04,0,4.52,0.005,433.35,0.481,441.83,22.04,31.08
60,Lomerio,12,Belén ,1,DL1,P6,246.96,0.274,2.744,20.09,0.022,103.09,0.115,0,0,9.78,0.011,383.08,0.426,211.9,22.39,30.8
61,Lomerio,1,Morelia,2,DL2,P13,527.98,0.587,5.866,82.41,0.092,59.06,0.066,0,0,1.1,0.001,677.16,0.752,389.68,25.66,35.9
62,Lomerio,2,Morelia,2,DL2,P13,650.01,0.722,7.222,29.49,0.033,44.26,0.049,0,0,2.8,0.003,734.59,0.816,358.61,25.88,37.1
63,Lomerio,3,Morelia,2,DL2,P13,515.12,0.572,5.724,30.85,0.034,49.28,0.055,0.13,0,1.14,0.001,602.91,0.67,241.83,25.4,37.81
64,Lomerio,4,Morelia,2,DL2,P13,335.56,0.373,3.728,16.37,0.018,45.83,0.051,0,0,1.398,0.002,403.33,0.448,305.78,25.47,35.15
65,Lomerio,5,Morelia,2,DL2,P13,352.17,0.391,3.913,37.89,0.042,106.37,0.118,0,0,4.22,0.005,505.12,0.561,157.65,25.77,35.17
66,Lomerio,6,Morelia,2,DL2,P13,657.1,0.73,7.301,21.53,0.024,154.35,0.172,0.61,0.001,0.99,0.001,842.81,0.936,182.52,25.29,35.78
67,Lomerio,7,Morelia,2,DL2,P13,295.13,0.328,3.279,43.6,0.048,77.18,0.086,0,0,64.32,0.071,483.97,0.538,76.6,26.13,37.17
68,Lomerio,8,Morelia,2,DL2,P13,320.01,0.356,3.556,21.23,0.024,156.79,0.174,0.05,0,3.72,0.004,505.91,0.562,315.43,25.77,37.13
69,Lomerio,9,Morelia,2,DL2,P13,568.04,0.631,6.312,77.28,0.086,86.27,0.096,0,0,2.96,0.003,741.67,0.824,488.8,23.81,33.45
70,Lomerio,10,Morelia,2,DL2,P13,648.31,0.72,7.203,17.44,0.019,86.78,0.096,0,0,18.75,0.021,779.32,0.866,492.94,24.02,34.45
71,Lomerio,11,Morelia,2,DL2,P13,430.02,0.478,4.778,33.94,0.038,80.2,0.089,0,0,2.67,0.003,552.21,0.614,479.28,22.64,33.14
72,Lomerio,12,Morelia,2,DL2,P13,720.84,0.801,8.009,63.16,0.07,243.17,0.27,4.34,0.005,41.92,0.047,1082.59,1.203,214.25,23.21,34.32
73,Lomerio,1,Morelia,2,DL2,P12,566.91,0.63,6.299,65.22,0.072,114.36,0.127,2.83,0.003,8.57,0.01,765.02,0.85,389.68,25.66,35.9
74,Lomerio,2,Morelia,2,DL2,P12,765.76,0.851,8.508,9.49,0.011,56.86,0.063,0.68,0.001,1.92,0.002,844.14,0.938,358.61,25.88,37.1
75,Lomerio,3,Morelia,2,DL2,P12,703.13,0.781,7.813,9.65,0.011,76.37,0.085,0.05,0,0.69,0.001,798.58,0.887,241.83,25.4,37.81
76,Lomerio,4,Morelia,2,DL2,P12,388.23,0.431,4.314,8.45,0.009,56.64,0.063,0,0,15.4925,0.017,473.63,0.526,305.78,25.47,35.15
77,Lomerio,5,Morelia,2,DL2,P12,507.27,0.564,5.636,33.11,0.037,82.6,0.092,0,0,7.8,0.009,637.11,0.708,157.65,25.77,35.17
78,Lomerio,6,Morelia,2,DL2,P12,816.94,0.908,9.077,23.09,0.026,160.5,0.178,0,0,1.62,0.002,1012.34,1.125,182.52,25.29,35.78
79,Lomerio,7,Morelia,2,DL2,P12,881.2,0.979,9.791,5.9,0.007,83.49,0.093,0,0,9.89,0.011,991.35,1.101,76.6,26.13,37.17
80,Lomerio,8,Morelia,2,DL2,P12,424.72,0.472,4.719,49.62,0.055,149.2,0.166,0.05,0,4.89,0.005,633.89,0.704,315.43,25.77,37.13
81,Lomerio,9,Morelia,2,DL2,P12,580.33,0.645,6.448,40.15,0.045,55.26,0.061,0,0,26.46,0.029,709.4,0.788,488.8,23.81,33.45
82,Lomerio,10,Morelia,2,DL2,P12,347.81,0.386,3.865,6.73,0.007,50.87,0.057,0,0,1.67,0.002,411.39,0.457,492.94,24.02,34.45
83,Lomerio,11,Morelia,2,DL2,P12,475.09,0.528,5.279,32.8,0.036,152.81,0.17,0.14,0,13.85,0.015,680.7,0.756,479.28,22.64,33.14
84,Lomerio,12,Morelia,2,DL2,P12,356.25,0.396,3.958,35.04,0.039,167.01,0.186,0,0,11.93,0.013,574.81,0.639,214.25,23.21,34.32
85,Lomerio,1,Florencia,2,DL2,P16,538.29,0.598,5.981,82,0.091,59.99,0.067,0,0,18.65,0.021,705.67,0.784,423.75,25.66,35.9
86,Lomerio,2,Florencia,2,DL2,P16,595.13,0.661,6.613,44.01,0.049,97.86,0.109,2,0.002,93.03,0.103,839.46,0.933,390.33,25.88,37.1
87,Lomerio,3,Florencia,2,DL2,P16,400.23,0.445,4.447,15.36,0.017,53.59,0.06,0.93,0.001,69.04,0.077,544.12,0.605,247.11,25.4,37.81
88,Lomerio,4,Florencia,2,DL2,P16,539.45,0.599,5.994,22.14,0.025,90.24,0.1,0.1,0,22.4,0.025,681.05,0.757,275.09,25.47,35.15
89,Lomerio,5,Florencia,2,DL2,P16,650.31,0.723,7.226,31.94,0.035,121.59,0.135,4.16,0.005,12.77,0.014,828.89,0.921,158.14,25.77,35.17
90,Lomerio,6,Florencia,2,DL2,P16,1204.35,1.338,13.382,72.35,0.08,178.17,0.198,0.88,0.001,5.28,0.006,1476.03,1.64,166.53,25.29,35.78
91,Lomerio,7,Florencia,2,DL2,P16,342.82,0.381,3.809,29.14,0.032,92.34,0.103,0,0,15.47,0.017,484.09,0.538,67.36,26.13,37.17
92,Lomerio,8,Florencia,2,DL2,P16,334.73,0.372,3.719,17.21,0.019,111.76,0.124,1.09,0.001,5.31,0.006,474.34,0.527,300.65,24.24,37.13
93,Lomerio,9,Florencia,2,DL2,P16,1024.59,1.138,11.384,68.81,0.076,165.93,0.184,1.29,0.001,75.81,0.084,1349.22,1.499,505.52,23.81,33.45
94,Lomerio,10,Florencia,2,DL2,P16,513.98,0.571,5.711,53.35,0.059,67.42,0.075,0.08,0,2.54,0.003,643.78,0.715,558.88,24.02,34.45
95,Lomerio,11,Florencia,2,DL2,P16,244.71,0.272,2.719,16.61,0.018,48.57,0.054,0,0,6.18,0.007,319.13,0.355,539.46,22.64,33.14
96,Lomerio,12,Florencia,2,DL2,P16,270.17,0.3,3.002,18.37,0.02,69.4,0.077,0.52,0.001,69.4,0.077,431.26,0.479,254.68,23.21,34.32
97,Lomerio,1,Morelia,1,DL1,P10,182.73,0.203,2.03,18.93,0.021,20.96,0.023,0,0,1.29,0.001,226.19,0.251,376.05,25.66,35.9
98,Lomerio,2,Morelia,1,DL1,P10,341.86,0.38,3.798,13.45,0.015,45.86,0.051,0.27,0,2.86,0.003,408.54,0.454,378.07,25.88,37.1
99,Lomerio,3,Morelia,1,DL1,P10,224.05,0.249,2.489,24.76,0.028,57.87,0.064,0,0,1.23,0.001,310.74,0.345,239.8,25.4,37.81
100,Lomerio,4,Morelia,1,DL1,P10,269.48,0.299,2.994,3.65,0.004,45.18,0.05,0.25,0,3.7035,0.004,325.61,0.362,316.93,25.47,35.15
101,Lomerio,5,Morelia,1,DL1,P10,428.03,0.476,4.756,6.01,0.007,99.16,0.11,1.27,0.001,35.99,0.04,575.81,0.64,161.6,25.77,35.17
102,Lomerio,6,Morelia,1,DL1,P10,150.76,0.168,1.675,22.63,0.025,51.47,0.057,0.18,0,0.16,0,227.13,0.252,187.54,25.29,35.78
103,Lomerio,7,Morelia,1,DL1,P10,370.72,0.412,4.119,10.17,0.011,22.3,0.025,0.82,0.001,0.73,0.001,409.31,0.455,83.47,26.13,37.17
104,Lomerio,8,Morelia,1,DL1,P10,181.28,0.201,2.014,4.32,0.005,24.81,0.028,0.02,0,1.08,0.001,213.75,0.238,288.71,25.77,37.13
105,Lomerio,9,Morelia,1,DL1,P10,229.07,0.255,2.545,10.26,0.011,25.65,0.029,0,0,11.01,0.012,278.83,0.31,466.66,23.81,33.45
106,Lomerio,10,Morelia,1,DL1,P10,229.07,0.255,2.545,10.26,0.011,25.65,0.029,0,0,42.29,0.047,310.11,0.345,507.79,24.02,34.45
107,Lomerio,11,Morelia,1,DL1,P10,329.21,0.366,3.658,16.22,0.018,207.04,0.23,0,0,1.93,0.002,558.67,0.621,460.94,22.64,33.14
108,Lomerio,12,Morelia,1,DL1,P10,477.68,0.531,5.308,78.04,0.087,129.46,0.144,0.23,0,10.26,0.011,701.74,0.78,228.78,23.21,34.32
109,Lomerio,1,Belén ,1,DL1,P11,346.85,0.385,3.854,10.99,0.012,95.89,0.107,0.25,0,3.04,0.003,461.38,0.513,371.64,24.32,33
110,Lomerio,2,Belén ,1,DL1,P11,344.85,0.383,3.832,0,0,37.86,0.042,0,0,1.96,0.002,388.93,0.432,346.69,24.48,33.27
111,Lomerio,3,Belén ,1,DL1,P11,175.65,0.195,1.952,10.72,0.012,92.3,0.103,0.12,0,1.16,0.001,282.21,0.314,242.77,24.04,35.49
112,Lomerio,4,Belén ,1,DL1,P11,304.55,0.338,3.384,14.46,0.016,47.49,0.053,0,0,2.778,0.003,373.07,0.415,329.12,24.26,33.13
113,Lomerio,5,Belén ,1,DL1,P11,211.04,0.234,2.345,12.04,0.013,66.67,0.074,0,0,0.3,0,292.72,0.325,169.98,24.37,33.02
