Record,Paisaje,Sample,Locality,Successional State,Succession,Plot,LeafLitter.g,LeafLitter/Mg/ha/month,LeafLitter/Mg/ha/month2,Branches.g,Branches/Mg/ha/month,Detritus.g,Detritus/Mg/ha/month,Flowers.g,Flowers/Mg/ha/month,Fruits.g,Fruits/Mg/ha/month,Total.g,Total/Mg/ha/month,Precipitation,Temp.Ave,Temp.Max
255,Mountain,3,Belén ,2,DM2,P8,218.7,0.243,2.43,40.49,0.045,36.59,0.041,0,0,0.1308,0,298.67,0.332,324.17,24.26,33.13
256,Mountain,4,Belén ,2,DM2,P8,311.71,0.346,3.463,38.66,0.043,94.2,0.105,0,0,6.43,0.007,454.96,0.506,189.04,24.37,33.02
257,Mountain,5,Belén ,2,DM2,P8,585.68,0.651,6.508,29.55,0.033,147.18,0.164,1.16,0.001,23.09,0.026,794.02,0.882,172.29,23.75,32
258,Mountain,6,Belén ,2,DM2,P8,720.84,0.801,8.009,81.04,0.09,163.84,0.182,0,0,9.67,0.011,984.48,1.094,61.45,24.4,33.52
259,Mountain,7,Belén ,2,DM2,P8,326.28,0.363,3.625,27.52,0.031,35.14,0.039,0,0,25.87,0.029,418.87,0.465,260.71,24.24,32.91
260,Mountain,8,Belén ,2,DM2,P8,402.92,0.448,4.477,66.55,0.074,181.85,0.202,0,0,43.16,0.048,699.68,0.777,431.91,22.74,31.75
261,Mountain,9,Belén ,2,DM2,P8,156.17,0.174,1.735,56.81,0.063,88.92,0.099,2.04,0.002,30.04,0.033,336.05,0.373,433.42,23.03,32.53
262,Mountain,10,Belén ,2,DM2,P8,392.67,0.436,4.363,71.73,0.08,116.54,0.129,0,0,4.86,0.005,590.81,0.656,363.79,22.04,31.08
263,Mountain,11,Belén ,2,DM2,P8,269.87,0.3,2.999,55.51,0.062,133.08,0.148,0.63,0.001,22.68,0.025,485.28,0.539,188.3,22.39,30.8
264,Mountain,12,Belén ,2,DM2,P8,488.63,0.543,5.429,110.2,0.122,110.15,0.122,0,0,65.53,0.073,780.73,0.867,229.75,23.42,32
265,Mountain,1,Belén ,1,DM1,P15,357.2,0.397,3.969,70.11,0.078,167.56,0.186,0.96,0.001,26.96,0.03,627.42,0.697,312.97,24.48,33.27
266,Mountain,2,Belén ,1,DM1,P15,566.74,0.63,6.297,38.78,0.043,121.11,0.135,0.28,0,2.52,0.003,736.54,0.818,223.07,24.04,35.49
267,Mountain,3,Belén ,1,DM1,P15,454.74,0.505,5.053,21.06,0.023,127.42,0.142,0,0,5.7333,0.006,614.68,0.683,324.17,24.26,33.13
268,Mountain,4,Belén ,1,DM1,P15,253.68,0.282,2.819,20.47,0.023,53.86,0.06,0,0,0.66,0.001,331.86,0.369,189.04,24.37,33.02
269,Mountain,5,Belén ,1,DM1,P15,705.46,0.784,7.838,30.15,0.034,115.84,0.129,0,0,14.44,0.016,874.67,0.972,172.29,23.75,32
270,Mountain,6,Belén ,1,DM1,P15,456.78,0.508,5.075,10.28,0.011,170.61,0.19,4.3,0.005,20.71,0.023,668.47,0.743,61.45,24.4,33.52
271,Mountain,7,Belén ,1,DM1,P15,398.78,0.443,4.431,20.2,0.022,38.84,0.043,0,0,2.47,0.003,465.23,0.517,260.71,24.24,32.91
272,Mountain,8,Belén ,1,DM1,P15,291.3,0.324,3.237,20.74,0.023,87.01,0.097,0.19,0,15.93,0.018,418.85,0.465,431.91,22.74,31.75
273,Mountain,9,Belén ,1,DM1,P15,270.58,0.301,3.006,66.26,0.074,163.3,0.181,2.78,0.003,10.7,0.012,517.19,0.575,433.42,23.03,32.53
274,Mountain,10,Belén ,1,DM1,P15,385.19,0.428,4.28,25.48,0.028,93.08,0.103,0.21,0,30.74,0.034,539.54,0.599,363.79,22.04,31.08
275,Mountain,11,Belén ,1,DM1,P15,270.81,0.301,3.009,47.96,0.053,120.27,0.134,1.83,0.002,24.1,0.027,468.47,0.521,188.3,22.39,30.8
276,Mountain,12,Belén ,1,DM1,P15,521.29,0.579,5.792,65.19,0.072,202.14,0.225,0,0,9.53,0.011,804.82,0.894,229.75,23.42,32
277,Mountain,1,Belén ,2,DM2,P17,493.13,0.548,5.479,13.57,0.015,154.22,0.171,0,0,6.75,0.008,673.88,0.749,312.97,24.48,33.27
278,Mountain,2,Belén ,2,DM2,P17,350.18,0.389,3.891,55.77,0.062,134.03,0.149,2.12,0.002,8.09,0.009,554.69,0.616,223.07,24.04,35.49
279,Mountain,3,Belén ,2,DM2,P17,448.19,0.498,4.98,68.53,0.076,46.58,0.052,12.88,0.014,5.0364,0.006,586.84,0.652,324.17,24.26,33.13
280,Mountain,4,Belén ,2,DM2,P17,291.89,0.324,3.243,37.81,0.042,99.01,0.11,5.26,0.006,3.78,0.004,441.47,0.491,189.04,24.37,33.02
281,Mountain,5,Belén ,2,DM2,P17,770.26,0.856,8.558,52.99,0.059,112.95,0.126,3.88,0.004,1.81,0.002,951.49,1.057,172.29,23.75,32
282,Mountain,6,Belén ,2,DM2,P17,392.28,0.436,4.359,38.11,0.042,31.29,0.035,4.02,0.004,4.6,0.005,475.18,0.528,61.45,24.4,33.52
283,Mountain,7,Belén ,2,DM2,P17,375.06,0.417,4.167,60.11,0.067,42.36,0.047,0,0,0.83,0.001,483.06,0.537,260.71,24.24,32.91
284,Mountain,8,Belén ,2,DM2,P17,481.05,0.535,5.345,19.26,0.021,137.11,0.152,0.08,0,0,0,643.55,0.715,431.91,22.74,31.75
285,Mountain,9,Belén ,2,DM2,P17,311.34,0.346,3.459,43.83,0.049,136.99,0.152,2.15,0.002,4.06,0.005,502.38,0.558,433.42,23.03,32.53
286,Mountain,10,Belén ,2,DM2,P17,455.23,0.506,5.058,63.71,0.071,84.43,0.094,0,0,5.87,0.007,614.97,0.683,363.79,22.04,31.08
287,Mountain,11,Belén ,2,DM2,P17,264.25,0.294,2.936,78,0.087,115.83,0.129,5.21,0.006,9.11,0.01,475.85,0.529,188.3,22.39,30.8
288,Mountain,12,Belén ,2,DM2,P17,520.57,0.578,5.784,67.89,0.075,156.42,0.174,0.19,0,34.67,0.039,786.35,0.874,229.75,23.42,32
289,Mountain,1,Belén ,2,DM2,P18,172.43,0.192,1.916,17.82,0.02,83.24,0.092,1.46,0.002,0.84,0.001,278.01,0.309,302.72,24.48,33.27
290,Mountain,2,Belén ,2,DM2,P18,655.51,0.728,7.283,105.96,0.118,214.63,0.238,0,0,65.55,0.073,1050.02,1.167,214.84,24.04,35.49
291,Mountain,3,Belén ,2,DM2,P18,643.05,0.715,7.145,57.82,0.064,177.21,0.197,4,0.004,2.388,0.003,892.59,0.992,322.43,24.26,33.13
292,Mountain,4,Belén ,2,DM2,P18,294.77,0.328,3.275,31.66,0.035,53.21,0.059,0,0,7.91,0.009,391.25,0.435,195.75,24.37,33.02
293,Mountain,5,Belén ,2,DM2,P18,730.48,0.812,8.116,26.3,0.029,157.85,0.175,0,0,1.51,0.002,925.27,1.028,159.56,23.75,32
294,Mountain,6,Belén ,2,DM2,P18,415.04,0.461,4.612,39.93,0.044,218.75,0.243,0.51,0.001,43.68,0.049,723.27,0.804,62.88,24.4,33.52
295,Mountain,7,Belén ,2,DM2,P18,473.07,0.526,5.256,6.05,0.007,178.41,0.198,0,0,3.65,0.004,667.17,0.741,253.92,24.24,32.91
296,Mountain,8,Belén ,2,DM2,P18,262.27,0.291,2.914,15.21,0.017,150.01,0.167,0,0,11.01,0.012,441.89,0.491,402.06,22.74,31.75
297,Mountain,9,Belén ,2,DM2,P18,165.39,0.184,1.838,27.36,0.03,108.16,0.12,10.83,0.012,32.18,0.036,346.1,0.385,409.08,23.03,32.53
298,Mountain,10,Belén ,2,DM2,P18,267.33,0.297,2.97,20.05,0.022,93.72,0.104,0.5,0.001,6.23,0.007,391.22,0.435,348.17,22.04,31.08
299,Mountain,11,Belén ,2,DM2,P18,461.24,0.512,5.125,62.31,0.069,185.69,0.206,3.75,0.004,10.5,0.012,729.41,0.81,186.63,22.39,30.8
300,Mountain,12,Belén ,2,DM2,P18,420.6,0.467,4.673,63.01,0.07,108.99,0.121,0.85,0.001,11.13,0.012,609.91,0.678,202.94,23.42,32
301,Mountain,1,Florencia,3,RM,P1,483.92,0.538,5.377,107.79,0.12,171.69,0.191,1.44,0.002,3.42,0.004,774.49,0.861,284.43,24.73,33.7
